Tipster,Horse,Bet Type,Odds,Result,TipsterActive
Tipster P,Here For The Craic,Win,6,Win,TRUE
Tipster P,Dancing Star,Win,8.8,Lose,TRUE
Tipster P,Light And Shade,Win,5.3,Lose,TRUE
Tipster P,Dark Shot,Win,4.9,Win,TRUE
Tipster P,Charlies Mate,Win,8.4,Lose,TRUE
Tipster P,Art Obsession,Win,6.8,Lose,TRUE
Tipster P,Van Dyke,Win,5.9,Lose,TRUE
Tipster P,Swift Mover,Win,6,Lose,TRUE
Tipster P,Gold Flash,Win,4.5,Lose,TRUE
Tipster P,Threebagsue,Win,9.8,Lose,TRUE
Tipster P,Primo Uomo,Win,6.2,Lose,TRUE
Tipster P,Touch The Sky,Win,7.2,Lose,TRUE
Tipster P,Canton Prince,Win,5,Win,TRUE
Tipster P,Dark Defender,Win,6,Win,TRUE
Tipster P,Viserion,Win,4.5,Lose,TRUE
Tipster P,Jackofhearts,Win,9.2,Lose,TRUE
Tipster P,In Haste,Win,7,Lose,TRUE
Tipster P,Chain Of Beacons,Win,4.9,Lose,TRUE
Tipster P,Buzz Lightyere,Win,7.4,Lose,TRUE
Tipster P,Perle De La Mer,Win,4.8,Win,TRUE
Tipster P,Elm Grove,Win,5,Lose,TRUE
Tipster P,Hay Chewed,Win,4.9,Win,TRUE
Tipster P,Kinari,Win,5.3,Lose,TRUE
Tipster P,Fact Of The Matter,Win,5.1,Win,TRUE
Tipster P,Sky Lino,Win,5.2,Lose,TRUE
Tipster P,Rock Steady,Win,4.9,Lose,TRUE
Tipster P,Miss Beatrice,Win,4.5,Lose,TRUE
Tipster P,Slieveardagh,Win,7.2,Lose,TRUE
Tipster P,Deansgate,Win,5.4,Lose,TRUE
Tipster P,Priceless,Win,6.47,Win,TRUE
Tipster P,Dream Mover,Win,4.8,Lose,TRUE
Tipster P,Coopers Friend,Win,4.8,Lose,TRUE
Tipster P,Revolutionist,Win,4.8,Lose,TRUE
Tipster P,Pea Shooter,Win,6.6,Lose,TRUE
Tipster P,Light From Mars,Win,6.6,Lose,TRUE
Tipster P,Ivors Magic,Win,4.9,Lose,TRUE
Tipster P,Howilat,Win,5.4,Lose,TRUE
Tipster P,Northdown,Win,5.3,Lose,TRUE
Tipster Q,Green Flag,Win,13,Lose,FALSE
Tipster Q,Lord Protector,Win,3,Lose,FALSE
Tipster Q,Ruacana,Win,9,Lose,FALSE
Tipster Q,Gods Own,Win,5,Lose,FALSE
Tipster Q,Whats Happening,Win,6,Lose,FALSE
Tipster Q,Shotofvodka,Win,4,Lose,FALSE
Tipster Q,Robins Reef,Win,3,Lose,FALSE
Tipster Q,Jumptoconclusions,Win,5,Win,FALSE
Tipster Q,Fiddlers Green,Each Way,12,Lose,FALSE
Tipster Q,Come Upance,Win,2.7,Lose,FALSE
Tipster Q,Raifteiri,Each Way,11,Lose,FALSE
Tipster Q,Swing Alone,Win,3,Win,FALSE
Tipster Q,Benefit In Kind,Win,3.75,Win,FALSE
Tipster Q,Professor Plum,Win,4,Win,FALSE
Tipster Q,High Intensity,Win,2.75,Lose,FALSE
Tipster Q,The Sneezer,Win,3.5,Lose,FALSE
Tipster Q,Positive Vibes,Win,2.25,Lose,FALSE
Tipster Q,Layline,Win,6,Lose,FALSE
Tipster Q,Warsaw Pact,Win,6.5,Lose,FALSE
Tipster Q,Smart Salute,Win,4.5,Lose,FALSE
Tipster Q,Carly King,Win,3,Lose,FALSE
Tipster Q,Mighty Cliché,Each Way,18,Win,FALSE
Tipster Q,Brownville,Win,3.5,Win,FALSE
Tipster Q,Seven Lucky Seven,Win,3,Lose,FALSE
Tipster Q,Tigers Tale,Win,3.1,Lose,FALSE
Tipster Q,Win Steel River,Win,4.5,Lose,FALSE
Tipster Q,Son Of Suzi,Each Way,9,Lose,FALSE
Tipster Q,Lough Kent,Win,7.5,Lose,FALSE
Tipster Q,Duke Of Lucca,Win,7.5,Lose,FALSE
Tipster Q,Peckhamecho,Each Way,11,Lose,FALSE
Tipster Q,Seedling,Win,7,Win,FALSE
Tipster Q,Bold Henry,Win,2.5,Lose,FALSE
Tipster Q,Grandads Horse,Win,3.25,Win,FALSE
Tipster Q,Port Melon,Win,2.7,Lose,FALSE
Tipster Q,Zamdy Man,Each Way,10,Lose,FALSE
Tipster Q,Star Links,Each Way,14,Lose,FALSE
Tipster Q,Red Cadeaux,Win,8,Lose,FALSE
Tipster Q,Sole Power,Win,8,Lose,FALSE
Tipster Q,Captain Cat,Each Way,20,Lose,FALSE
Tipster Q,King Vuvuzela,Win,7,Lose,FALSE
Tipster Q,Anton Dolin,Win,4,Lose,FALSE
Tipster Q,Arabian Flight,Win,2.75,Lose,FALSE
Tipster Q,Cavite Eta,Win,5.5,Lose,FALSE
Tipster Q,Iconic Rose,Win,10,Win,FALSE
Tipster Q,First In Command,Each Way,11,Lose,FALSE
Tipster Q,Harrogate Fair,Each Way,12,Lose,FALSE
Tipster Q,Generous Dreams,Win,4.5,Lose,FALSE
Tipster Q,Montys Revenge,Win,4,Lose,FALSE
Tipster Q,Extreme Supreme,Win,6,Win,FALSE
Tipster Q,Jacobs Son,Win,3.5,Lose,FALSE
Tipster Q,Quenella,Win,4.33,Win,FALSE
Tipster Q,Danequest,Each Way,21,Lose,FALSE
Tipster Q,Neds Indian,Win,8,Lose,FALSE
Tipster Q,Comedy Club,Win,4.33,Lose,FALSE
Tipster Q,Safran De Cotte,Win,7.5,Lose,FALSE
Tipster Q,Killcooley,Win,6.5,Win,FALSE
Tipster Q,Ardkilly Witness,Win,7.5,Lose,FALSE
Tipster Q,Clondaw Warrior,Win,7,Lose,FALSE
Tipster Q,Arzal,Win,4.5,Lose,FALSE
Tipster Q,River Maigue,Win,6,Lose,FALSE
Tipster Q,Corrin Wood,Win,8,Lose,FALSE
Tipster Q,Warden Hill,Each Way,33,Win,FALSE
Tipster Q,Spanish Fleet,Win,4.5,Lose,FALSE
Tipster Q,Irving,Win,5.5,Lose,FALSE
Tipster Q,Al Ferof,Win,7,Lose,FALSE
Tipster Q,Go West Young Man,Win,7,Lose,FALSE
Tipster Q,Brownville,Win,8,Lose,FALSE
Tipster Q,Old Guard,Win,6,Lose,FALSE
Tipster Q,Loose Chips,Win,8,Lose,FALSE
Tipster Q,Benvolio,Each Way,14,Win,FALSE
Tipster Q,Shotgun Paddy,Win,8,Lose,FALSE
Tipster Q,Deputy Dan,Win,5,Lose,FALSE
Tipster Q,Bears Rails,Win,13,Lose,FALSE
Tipster Q,Lieutenant Colonel,Win,5,Win,FALSE
Tipster Q,Elsie,Each Way,17,Lose,FALSE
Tipster Q,Sam Winner,Win,7,Lose,FALSE
Tipster Q,Midsommarkranen,Each Way,13,Lose,FALSE
Tipster Q,Peoples Park,Win,4,Lose,FALSE
Tipster Q,Vyta. Du Roc,Win,3.25,Lose,FALSE
Tipster Q,Annie Oakley,Win,4,Lose,FALSE
Tipster Q,Fairytale Theatre,Win,7.5,Lose,FALSE
Tipster Q,The Tullow Tank,Win,6.5,Lose,FALSE
Tipster Q,Lough Kent,Win,11,Lose,FALSE
Tipster Q,Clouds Of Mist,Win,7,Lose,FALSE
Tipster Q,Catalinas Diamond,Win,5.5,Lose,FALSE
Tipster Q,Brocklbank,Win,3.7,Lose,FALSE
Tipster Q,The Blue Dog,Each Way,15,Lose,FALSE
Tipster Q,Dusky Legend,Each Way,17,Win,FALSE
Tipster Q,Souk Al Tahab,Win,6.5,Lose,FALSE
Tipster Q,Limerick Lord,Win,8,Lose,FALSE
Tipster Q,Lujeanie,Win,5,Lose,FALSE
Tipster Q,Zman Awal,Win,4.5,Lose,FALSE
Tipster Q,What A Dandy,Win,7,Lose,FALSE
Tipster Q,Hawk High,Win,6.5,Lose,FALSE
Tipster Q,Southield Vic,Win,4.5,Lose,FALSE
Tipster Q,Or De Grugy,Win,5,Lose,FALSE
Tipster Q,Rock On Ruby,Win,4,Win,FALSE
Tipster Q,Capellanus,Win,4,Lose,FALSE
Tipster Q,Night Trade,Each Way,29,Lose,FALSE
Tipster Q,Glenbuck Lass,Win,5,Lose,FALSE
Tipster Q,Margot Rose,Win,15,Lose,FALSE
Tipster Q,Cousin Khee,Win,5,Lose,FALSE
Tipster Q,Cherry Tiger,Win,8,Lose,FALSE
Tipster Q,Golanova,Win,7,Lose,FALSE
Tipster Q,Bang On Time,Win,4.5,Win,FALSE
Tipster Q,Bennys Well,Win,9,Lose,FALSE
Tipster Q,Personal Opinion,Win,4.5,Lose,FALSE
Tipster Q,Whos That,Win,5.5,Lose,FALSE
Tipster Q,Underwood,Each Way,15,Lose,FALSE
Tipster Q,Reblis,Win,5,Lose,FALSE
Tipster Q,Inthejungle,Each Way,17,Lose,FALSE
Tipster Q,Sands Cove,Win,10,Lose,FALSE
Tipster Q,Pops Well,Win,6,Lose,FALSE
Tipster Q,Dynamic Idol,Win,5,Lose,FALSE
Tipster Q,Miss Faithfull,Win,4.25,Lose,FALSE
Tipster Q,Gelnside Tara,Win,11,Lose,FALSE
Tipster Q,Karam Albaari,Win,13,Lose,FALSE
Tipster Q,Never Never,Win,8,Lose,FALSE
Tipster Q,Eastern Witness,Win,6,Lose,FALSE
Tipster Q,Baltic Pathfinder,Each Way,15,Lose,FALSE
Tipster Q,Pinleys Prince,Win,3,Lose,FALSE
Tipster Q,Bradoun,Win,2.62,Lose,FALSE
Tipster Q,Boboli Gardens,Win,3.5,Win,FALSE
Tipster Q,Pivotman,Win,3.25,Win,FALSE
Tipster Q,Archies Advice,Win,3,Lose,FALSE
Tipster Q,Landing Night,Win,4.5,Win,FALSE
Tipster Q,Medieval Chapel,Win,4,Lose,FALSE
Tipster Q,Mr Clockmaker,Each Way,26,Lose,FALSE
Tipster Q,Etania,Win,6.5,Lose,FALSE
Tipster Q,Tealissio,Win,6,Win,FALSE
Tipster Q,Donapolio,Win,3.5,Lose,FALSE
Tipster Q,Dont Be,Win,3,Win,FALSE
Tipster Q,Fredo,Win,6,Lose,FALSE
Tipster Q,Earth Amber,Win,4.5,Lose,FALSE
Tipster Q,Chauvelin,Win,4,Win,FALSE
Tipster Q,Its A Steal,Win,5.5,Lose,FALSE
Tipster Q,Awaywiththegreys,Win,8,Lose,FALSE
Tipster Q,Hammersly Lake,Win,8,Lose,FALSE
Tipster Q,Red Tortue,Each Way,17,Lose,FALSE
Tipster Q,Open Hearted,Win,5,Lose,FALSE
Tipster Q,Blackamdamber Vic,Each Way,11,Lose,FALSE
Tipster Q,Mr Moonshine,Win,8,Lose,FALSE
Tipster Q,Abbey Lane,Win,8,Lose,FALSE
Tipster Q,Anonymous John,Win,5,Lose,FALSE
Tipster Q,One Cool Shabra,Each Way,13,Lose,FALSE
Tipster Q,Tigre Daron,Win,4,Lose,FALSE
Tipster Q,Sweet Boy Vic,Win,4.5,Lose,FALSE
Tipster Q,Quality Art,Win,5.5,Win,FALSE
Tipster Q,Maccabees,Win,7,Lose,FALSE
Tipster Q,Kodiac Lady,Win,9,Lose,FALSE
Tipster Q,Shwaiman,Win,7,Lose,FALSE
Tipster Q,Cadeaux Pearl,Each Way,26,Lose,FALSE
Tipster Q,Royle Django,Win,8,Lose,FALSE
Tipster Q,Destroyer Deployed,Win,4.5,Lose,FALSE
Tipster Q,Oriental Relation,Win,7,Lose,FALSE
Tipster Q,Bob Tucker,Win,4,Lose,FALSE
Tipster Q,Helmsman,Win,8,Lose,FALSE
Tipster Q,Pearl Noir,Win,7,Lose,FALSE
Tipster Q,Volito,Win,13,Lose,FALSE
Tipster Q,Dansili Dash,Each Way,21,Lose,FALSE
Tipster Q,Rock Of Leon,Win,13,Lose,FALSE
Tipster Q,For And Against,Win,4,Lose,FALSE
Tipster Q,Bitoffapuzzle,Win,5,Win,FALSE
Tipster Q,Lots Of Memories,Win,4.5,Lose,FALSE
Tipster Q,Diamond Charlie,Win,13,Lose,FALSE
Tipster Q,Lyvius,Win,7.5,Lose,FALSE
Tipster Q,Dodging Bullets,Win,4.5,Win,FALSE
Tipster Q,Green Flag,Win,9,Lose,FALSE
Tipster Q,Bobcatbilly,Win,8,Lose,FALSE
Tipster Q,Hamis Al Bin,Win,9,Lose,FALSE
Tipster Q,Chelwood Gate,Win,5,Lose,FALSE
Tipster Q,Kings Chapel,Win,11,Lose,FALSE
Tipster Q,Mountain Range,Win,5.5,Win,FALSE
Tipster Q,Divine Call,Win,17,Lose,FALSE
Tipster Q,Sixties Queen,Win,8,Lose,FALSE
Tipster Q,Pay Your Way,Each Way,29,Lose,FALSE
Tipster Q,Warsaw Pact,Win,17,Lose,FALSE
Tipster Q,Buckthorn Timothy,Win,7,Win,FALSE
Tipster Q,Park Place,Win,9,Lose,FALSE
Tipster Q,Lucky Dottie,Win,7,Win,FALSE
Tipster Q,Runswick Days,Win,4.5,Lose,FALSE
Tipster Q,Conquisto,Win,4.5,Lose,FALSE
Tipster Q,Uramazin,Win,9,Lose,FALSE
Tipster Q,Ruby Valentine,Win,11,Lose,FALSE
Tipster Q,Goodtoknow,Win,5,Lose,FALSE
Tipster Q,Adrrenalin Flight,Win,9,Lose,FALSE
Tipster Q,Baraboy,Win,8,Lose,FALSE
Tipster Q,Vejoins,Win,6,Win,FALSE
Tipster Q,Spray Tan,Win,4.5,Lose,FALSE
Tipster Q,Hasopop,Win,17,Lose,FALSE
Tipster Q,Many Clouds,Win,5,Win,FALSE
Tipster Q,Crusading,Each Way,17,Lose,FALSE
Tipster Q,Nyanza,Win,9,Lose,FALSE
Tipster Q,Sew On Target,Win,8,Lose,FALSE
Tipster Q,Zeroshadesofgrey,Win,5.5,Lose,FALSE
Tipster Q,Vago Collonges,Win,8.5,Lose,FALSE
Tipster Q,Un Temps Pour Tout,Win,3,Lose,FALSE
Tipster Q,Uncle Danny,Win,3,Lose,FALSE
Tipster Q,Silver Shuffle,Each Way,11,Win,FALSE
Tipster Q,Caolaneoin,Each Way,17,Lose,FALSE
Tipster Q,Downtown Boy,Win,10,Lose,FALSE
Tipster Q,Outlander,Each Way,10,Win,FALSE
Tipster Q,Ebony Empress,Win,5,Win,FALSE
Tipster Q,Bobbits Way,Win,4,Win,FALSE
Tipster Q,Sweet Boy Vic,Win,4.5,Lose,FALSE
Tipster Q,Aristocracy,Win,8,Lose,FALSE
Tipster Q,Uranium,Win,6.5,Lose,FALSE
Tipster Q,Golly Miss Molly,Win,4,Lose,FALSE
Tipster Q,Hurrican Alert,Win,4,Lose,FALSE
Tipster Q,Pretty Bubbles,Win,5,Win,FALSE
Tipster Q,Gleaming Girl,Win,8,Lose,FALSE
Tipster Q,Margot Rose,Win,9,Lose,FALSE
Tipster Q,O Maonlai,Win,11,Lose,FALSE
Tipster Q,Splash Of Ginge,Win,6,Lose,FALSE
Tipster Q,Imperial Leader,Win,9,Lose,FALSE
Tipster Q,Ardkilly Witness,Win,9,Lose,FALSE
Tipster Q,Doyly Carte,Win,4,Lose,FALSE
Tipster Q,Dreams Of Glory,Win,6,Lose,FALSE
Tipster Q,Bright New Dawn,Win,6,Lose,FALSE
Tipster Q,Childsplay,Win,5,Lose,FALSE
Tipster Q,Street Force,Win,13,Lose,FALSE
Tipster Q,Rigolleto,Win,5,Lose,FALSE
Tipster Q,Vied,Win,9,Lose,FALSE
Tipster Q,Nathens Pride,Win,9,Lose,FALSE
Tipster Q,Etaad,Win,8,Win,FALSE
Tipster Q,Sivron,Win,8.5,Lose,FALSE
Tipster Q,Miss Buckshot,Win,4,Lose,FALSE
Tipster Q,Kayf Blanco,Win,6.5,Win,FALSE
Tipster Q,Notonebuttwo,Win,6.5,Lose,FALSE
Tipster Q,Great Try,Win,3,Win,FALSE
Tipster Q,Warrent Officer,Win,15,Lose,FALSE
Tipster Q,Ustica,Win,5,Win,FALSE
Tipster Q,Merry King,Win,10,Lose,FALSE
Tipster Q,Conygree,Win,4.5,Win,FALSE
Tipster Q,Mr Mole,Win,5.5,Win,FALSE
Tipster Q,Lukes Benefit,Each Way,15,Lose,FALSE
Tipster Q,Nichols Canyon,Win,6,Win,FALSE
Tipster Q,Rat Catcher,Win,3.75,Win,FALSE
Tipster Q,Brave Spartacus,Win,5.5,Win,FALSE
Tipster Q,Our Phyllivera,Win,9,Lose,FALSE
Tipster Q,Danas Present,Win,3.5,Lose,FALSE
Tipster Q,King Rolfe,Win,6,Lose,FALSE
Tipster Q,Teddy Tee,Win,3.5,Lose,FALSE
Tipster Q,Laird Of Monksfield,Win,6.5,Lose,FALSE
Tipster Q,Aye Well,Win,3.75,Win,FALSE
Tipster Q,Wicker Man,Win,10,Lose,FALSE
Tipster Q,Red Tanber,Each Way,13,Lose,FALSE
Tipster Q,Bulfin Island,Win,4.5,Lose,FALSE
Tipster Q,Going Concern,Win,6,Win,FALSE
Tipster Q,Diamond Tammy,Win,9,Win,FALSE
Tipster Q,A Little Bit Dusty,Win,8,Lose,FALSE
Tipster Q,Gabriella Rose,Win,9,Lose,FALSE
Tipster Q,Gone To Far,Win,5,Lose,FALSE
Tipster Q,Paddy The Stout,Win,11,Lose,FALSE
Tipster Q,Hey Big Spender,Win,9,Lose,FALSE
Tipster Q,Lie Forrit,Each Way,15,Win,FALSE
Tipster Q,Balder Succes,Win,5,Win,FALSE
Tipster Q,Leith Hill Legasi,Win,8,Lose,FALSE
Tipster Q,Jhonny Eager,Win,5,Lose,FALSE
Tipster Q,Bennys Well,Win,9,Win,FALSE
Tipster Q,Basil Berry,Each Way,9,Win,FALSE
Tipster Q,Pistol,Each Way,11,Lose,FALSE
Tipster Q,Indian Affair,Win,5,Lose,FALSE
Tipster Q,Tea Caddy,Each Way,17,Win,FALSE
Tipster Q,Iconic Rose,Win,8,Lose,FALSE
Tipster Q,Dialogue,Win,11,Lose,FALSE
Tipster Q,Tornado In Milan,Win,8,Lose,FALSE
Tipster Q,Boboli Gardens,Win,4.25,Lose,FALSE
Tipster Q,Rascal,Win,3.5,Win,FALSE
Tipster Q,Oscar Time,Win,3.75,Lose,FALSE
Tipster Q,Katami River,Win,5.5,Lose,FALSE
Tipster Q,Sendiym,Win,5.5,Win,FALSE
Tipster Q,Astaroland,Win,4,Win,FALSE
Tipster Q,Endeavor,Win,4.5,Lose,FALSE
Tipster Q,Mystery Drama,Win,7.5,Lose,FALSE
Tipster Q,Beltor,Win,4,Win,FALSE
Tipster Q,Fox Appeal,Win,8,Lose,FALSE
Tipster Q,Sudden Wish,Win,4,Lose,FALSE
Tipster Q,Bara Boy,Win,7.5,Lose,FALSE
Tipster Q,Volcanic Jack,Each Way,26,Lose,FALSE
Tipster Q,Soliana,Win,5,Lose,FALSE
Tipster Q,Colms Dream,Win,6,Lose,FALSE
Tipster Q,Legion D Honneur,Win,17,Lose,FALSE
Tipster Q,Bourne,Win,7,Lose,FALSE
Tipster Q,Risk A Fine,Win,5,Lose,FALSE
Tipster Q,Bennys Well,Win,5.5,Lose,FALSE
Tipster Q,Inca Surprise,Win,4,Lose,FALSE
Tipster Q,Just A Normel Day,Each Way,41,Lose,FALSE
Tipster Q,Comeuppence,Win,5,Lose,FALSE
Tipster Q,Untill Winning,Win,4.5,Lose,FALSE
Tipster Q,Winn Lilly,Win,9,Lose,FALSE
Tipster Q,Forgiveienne,Win,5,Lose,FALSE
Tipster Q,Doctor Phoenix,Win,7,Lose,FALSE
Tipster Q,Tara Mac,Win,8,Lose,FALSE
Tipster Q,Grab The Glory,Win,19,Lose,FALSE
Tipster Q,Island Cruise,Win,10,Lose,FALSE
Tipster Q,Zamoyski,Win,4.25,Lose,FALSE
Tipster Q,Lucky Lodge,Win,6.5,Lose,FALSE
Tipster Q,Broom Lane,Win,5,Lose,FALSE
Tipster Q,Lucky Prince,Win,5.5,Lose,FALSE
Tipster Q,Offshore,Win,7.5,Lose,FALSE
Tipster Q,Sam Lord,Win,8.5,Lose,FALSE
Tipster Q,Pharoh Jake,Win,5,Lose,FALSE
Tipster Q,Pistol Basc,Win,9,Lose,FALSE
Tipster Q,Expiry Date,Each Way,17,Lose,FALSE
Tipster Q,Rayador,Win,5,Lose,FALSE
Tipster Q,Lean On Pete,Win,3.25,Lose,FALSE
Tipster Q,Beacouseshesaidso,Win,6,Lose,FALSE
Tipster Q,Risk N Reward,Win,6,Lose,FALSE
Tipster Q,Light From Mars,Win,10,Lose,FALSE
Tipster Q,Ginnys Tonic,Each Way,26,Lose,FALSE
Tipster Q,Champagne Rian,Win,6,Lose,FALSE
Tipster Q,May Be Some Time,Win,4.5,Win,FALSE
Tipster Q,Bostin,Each Way,21,Win,FALSE
Tipster Q,Moon Trip,Win,13,Win,FALSE
Tipster Q,Alvissio Ville,Each Way,23,Lose,FALSE
Tipster Q,Qewy,Win,17,Lose,FALSE
Tipster Q,Three Kingdoms,Each Way,21,Lose,FALSE
Tipster Q,Sgt Reckless,Each Way,23,Lose,FALSE
Tipster Q,Gallent Oscar,Win,11,Lose,FALSE
Tipster Q,Purple Bay,Each Way,51,Lose,FALSE
Tipster Q,Emily Grey,Each Way,81,Lose,FALSE
Tipster Q,Broadway Buffalo,Each Way,21,Win,FALSE
Tipster Q,Outlander,Win,5,Lose,FALSE
Tipster Q,Southfield Theatre,Win,9,Lose,FALSE
Tipster Q,Actival,Win,11,Lose,FALSE
Tipster Q,Dodging Bullets,Win,5.5,Win,FALSE
Tipster Q,Box Office,Win,17,Lose,FALSE
Tipster Q,Splash Of Ginge,Each Way,21,Lose,FALSE
Tipster Q,Bygones Sovereign,Each Way,34,Lose,FALSE
Tipster Q,Balder Success,Win,9,Lose,FALSE
Tipster Q,Reve Da Sivola,Win,21,Lose,FALSE
Tipster Q,Lieutentent Colonel,Win,10,Lose,FALSE
Tipster Q,Beltor,Win,9,Lose,FALSE
Tipster Q,Sort It Out,Win,21,Lose,FALSE
Tipster Q,The Giant Bolster,Each Way,41,Lose,FALSE
Tipster Q,Many Clouds,Win,11,Lose,FALSE
Tipster Q,On The Fringe,Win,7.5,Win,FALSE
Tipster Q,River Purple,Win,15,Lose,FALSE
Tipster Q,Primo Capitano,Win,13,Lose,FALSE
Tipster Q,Indias Song,Win,4.25,Lose,FALSE
Tipster Q,The Chuckmeister,Win,4.5,Lose,FALSE
Tipster Q,Dukes Den,Win,7.5,Lose,FALSE
Tipster Q,Archie Rice,Win,5,Lose,FALSE
Tipster Q,Rock De Champs,Win,5.5,Lose,FALSE
Tipster Q,Moon River,Win,2.85,Lose,FALSE
Tipster Q,Your Cool,Win,4.5,Lose,FALSE
Tipster Q,Centurius,Win,10,Lose,FALSE
Tipster Q,Bobcatbilly,Win,12,Lose,FALSE
Tipster Q,Sun Cloud,Win,7,Lose,FALSE
Tipster Q,Tara Mist,Win,11,Lose,FALSE
Tipster Q,Racing Europe,Win,7,Lose,FALSE
Tipster Q,Financial Climate,Win,6,Lose,FALSE
Tipster Q,Gallery Exhibition,Win,6,Lose,FALSE
Tipster Q,Eminet Poet,Win,19,Lose,FALSE
Tipster Q,Harry Hunt,Win,7.5,Lose,FALSE
Tipster Q,Whispering Storm,Win,10,Lose,FALSE
Tipster Q,Lucky Boo,Win,6,Lose,FALSE
Tipster Q,Dino Mite,Win,6,Lose,FALSE
Tipster Q,Iconic Rose,Win,6,Lose,FALSE
Tipster Q,Quiet By Chance,Win,4.5,Win,FALSE
Tipster Q,Ocean Legend,Win,5.5,Lose,FALSE
Tipster Q,Skywatch,Win,7.5,Lose,FALSE
Tipster Q,Greys Angel,Win,6,Lose,FALSE
Tipster Q,Rat Catcher,Win,7.5,Lose,FALSE
Tipster Q,Suger Train,Win,3.75,Lose,FALSE
Tipster Q,Kara Tara,Win,5,Win,FALSE
Tipster Q,Amosite,Win,17,Lose,FALSE
Tipster Q,Simple Verse,Win,4,Lose,FALSE
Tipster Q,City Of Angker Wat,Win,4.2,Win,FALSE
Tipster Q,Tears Of The Sun,Win,5.5,Lose,FALSE
Tipster Q,Belmount,Win,4,Lose,FALSE
Tipster Q,Katgary,Win,5,Win,FALSE
Tipster Q,Trickaway,Win,8,Lose,FALSE
Tipster Q,Palace Moon,Win,15,Lose,FALSE
Tipster Q,Tara Mac,Win,15,Lose,FALSE
Tipster Q,Green Law,Win,5,Win,FALSE
Tipster Q,Gm Hopkins,Win,8,Lose,FALSE
Tipster Q,Baroque Man,Win,5,Lose,FALSE
Tipster Q,No Buts,Win,6,Lose,FALSE
Tipster Q,Dawson City,Win,9,Lose,FALSE
Tipster Q,Rhapando,Win,4.5,Win,FALSE
Tipster Q,Mishrif,Win,6,Lose,FALSE
Tipster Q,Refuse Colette,Each Way,16,Lose,FALSE
Tipster Q,Quarter Jack,Win,8,Lose,FALSE
Tipster Q,Young Cheddar,Win,8,Lose,FALSE
Tipster Q,Cocker,Win,8,Lose,FALSE
Tipster Q,Captain Probus,Each Way,26,Lose,FALSE
Tipster Q,Daring Indian,Each Way,17,Lose,FALSE
Tipster Q,Brassick,Win,7,Lose,FALSE
Tipster Q,Shady Glen,Each Way,26,Lose,FALSE
Tipster Q,Fab Lolly,Each Way,41,Lose,FALSE
Tipster Q,Buthelezi,Each Way,17,Win,FALSE
Tipster Q,Tigers Tale,Each Way,21,Lose,FALSE
Tipster Q,Secret Millioner,Each Way,34,Lose,FALSE
Tipster Q,Titus Bolt,Win,7,Lose,FALSE
Tipster Q,Triple Chocalot,Win,9,Lose,FALSE
Tipster Q,Quality Art,Win,7.5,Win,FALSE
Tipster Q,Show Stopper,Win,5,Lose,FALSE
Tipster Q,Apache Glory,Win,5.5,Lose,FALSE
Tipster Q,Prussian Eagle,Win,7,Lose,FALSE
Tipster Q,Daring Article,Each Way,41,Lose,FALSE
Tipster Q,Disclosure,Win,10,Lose,FALSE
Tipster Q,Sarafina,Each Way,21,Win,FALSE
Tipster Q,Grandads World,Win,5.5,Win,FALSE
Tipster Q,Chevalier,Win,7.5,Lose,FALSE
Tipster Q,More Madnes,Win,9,Lose,FALSE
Tipster Q,Norwegian Reward,Win,8,Lose,FALSE
Tipster Q,Half A Billion,Win,9,Lose,FALSE
Tipster Q,Just Five,Win,10,Lose,FALSE
Tipster Q,Dutch Masterpiece,Win,4.25,Lose,FALSE
Tipster Q,All Yours,Each Way,17,Win,FALSE
Tipster Q,Smad Place,Each Way,15,Lose,FALSE
Tipster Q,Dresden,Win,15,Lose,FALSE
Tipster Q,Astracad,Each Way,17,Lose,FALSE
Tipster Q,Katgary,Win,13,Lose,FALSE
Tipster Q,Cyrus Darius,Win,11,Win,FALSE
Tipster Q,Al Ferof,Win,7.5,Lose,FALSE
Tipster Q,Prince De Beauchene,Each Way,41,Lose,FALSE
Tipster Q,Balthazar King,Win,17,Lose,FALSE
Tipster Q,Proffesor Plum,Win,4,Lose,FALSE
Tipster Q,Kalastar,Win,4,Lose,FALSE
Tipster Q,Libran,Win,11,Lose,FALSE
Tipster Q,Naady,Win,3.5,Lose,FALSE
Tipster Q,Asithappens,Win,7,Lose,FALSE
Tipster Q,Beyondemptation,Win,11,Lose,FALSE
Tipster Q,Amitred,Win,5.5,Lose,FALSE
Tipster Q,Bucks Bond,Win,5.5,Lose,FALSE
Tipster Q,Classical Art,Win,4.5,Lose,FALSE
Tipster Q,Whats Happening,Win,7,Win,FALSE
Tipster Q,Keltus,Win,7,Lose,FALSE
Tipster Q,Peptite Rose,Win,8,Lose,FALSE
Tipster Q,Bantam,Win,12,Lose,FALSE
Tipster Q,Bermondsey,Each Way,26,Lose,FALSE
Tipster Q,Lilly Waugh,Win,5.5,Lose,FALSE
Tipster Q,Rocky Rider,Win,4.25,Lose,FALSE
Tipster Q,Lesha,Win,5.5,Lose,FALSE
Tipster Q,Jack Steel,Win,8,Lose,FALSE
Tipster Q,Aragon Knight,Each Way,41,Lose,FALSE
Tipster Q,Suger Boy,Win,7,Lose,FALSE
Tipster Q,Al Co,Win,17,Lose,FALSE
Tipster Q,Tour D Argent,Win,5,Lose,FALSE
