Tipster,Horse,Bet Type,Odds,Result,TipsterActive
Tipster A,In Salutem,Win,5,Lose,TRUE
Tipster A,Bocca Bacciata,Each Way,21,Lose,TRUE
Tipster A,Territories,Each Way,11,Lose,TRUE
Tipster A,The Corsican,Each Way,11,Lose,TRUE
Tipster A,Pain Au Chocolat,Win,4,Lose,TRUE
Tipster A,Ibergman,Win,4,Lose,TRUE
Tipster A,Debt Free Dame,Each Way,7,Lose,TRUE
Tipster A,Crown Theatre,Each Way,9,Win,TRUE
Tipster A,Avenante,Each Way,15,Lose,TRUE
Tipster A,Quatrieme Ami,Win,2.1,Win,TRUE
Tipster A,Bulletproof,Win,4,Lose,TRUE
Tipster A,Duchy,Each Way,6,Lose,TRUE
Tipster A,Doctor Phoenix,Win,13,Lose,TRUE
Tipster A,Fergal Mael Duin,Win,2.38,Win,TRUE
Tipster A,Bunk Off Early,Win,3,Lose,TRUE
Tipster A,Mr Bossy Boots,Each Way,7,Win,TRUE
Tipster A,Breaking Bits,Each Way,5,Lose,TRUE
Tipster A,Best Example,Win,2.88,Win,TRUE
Tipster A,Dolphin Vista,Win,4.5,Lose,TRUE
Tipster A,Rock The World,Win,3.5,Win,TRUE
Tipster A,Vintage Vinnie,Win,4,Lose,TRUE
Tipster A,Maraakib,Win,3,Win,TRUE
Tipster A,Top Cat Henry,Each Way,6,Win,TRUE
Tipster A,Cottesloe,Each Way,13,Lose,TRUE
Tipster A,Workbench,Each Way,10,Win,TRUE
Tipster A,Moderah,Each Way,7,Win,TRUE
Tipster A,Kastini,Each Way,8,Lose,TRUE
Tipster A,Blue De Vega,Win,3,Win,TRUE
Tipster A,Light Music,Win,2.38,Win,TRUE
Tipster A,Acclio,Each Way,17,Lose,TRUE
Tipster A,Duke Of Navan,Each Way,9,Lose,TRUE
Tipster A,La Bague Au Roi,Each Way,5,Win,TRUE
Tipster A,Impulsive American,Win,4,Lose,TRUE
Tipster A,Champagne Bob,Each Way,8,Win,TRUE
Tipster A,Powersbomb,Each Way,7.5,Lose,TRUE
Tipster A,Athenian Garden,Win,4,Lose,TRUE
Tipster A,Blacklister,Each Way,8,Lose,TRUE
Tipster A,Berlusca,Win,3.5,Lose,TRUE
Tipster A,Al,Win,2.38,Lose,TRUE
Tipster A,Arsty,Win,2.5,Lose,TRUE
Tipster A,Ladurelli,Each Way,5.5,Lose,TRUE
Tipster A,Faustina Pius,Each Way,11,Win,TRUE
Tipster A,Mr Pickwick,Win,3,Lose,TRUE
Tipster A,Desert Snow,Each Way,4.5,Lose,TRUE
Tipster A,Crazy Chic,Each Way,10,Win,TRUE
Tipster A,Satchville Flyer,Each Way,8,Lose,TRUE
Tipster A,Weetles,Each Way,8.5,Win,TRUE
Tipster A,Kapstadt,Win,4,Lose,TRUE
Tipster A,Mobsta,Win,3.25,Win,TRUE
Tipster A,Paddys Runner,Each Way,7,Lose,TRUE
Tipster A,Exit Europe,Each Way,5,Lose,TRUE
Tipster A,Bumptious,Each Way,11,Win,TRUE
Tipster A,Chtibello,Each Way,15,Win,TRUE
Tipster A,Aqalim,Each Way,6,Win,TRUE
Tipster A,What A Warrior,Each Way,9,Lose,TRUE
Tipster A,Medicine Hat,Each Way,8,Lose,TRUE
Tipster A,Out Sam,Win,3.5,Lose,TRUE
Tipster A,Unoccupied,Each Way,9,Lose,TRUE
Tipster A,Girly Girl,Win,3.5,Win,TRUE
Tipster A,Helium,Each Way,6,Win,TRUE
Tipster A,Walking The Air,Win,4,Lose,TRUE
Tipster A,Vibrato Valtat,Win,4,Win,TRUE
Tipster A,Rouge Nuage,Each Way,13,Win,TRUE
Tipster A,David John,Each Way,9,Win,TRUE
Tipster A,Flashy Queen,Each Way,13,Lose,TRUE
Tipster A,Moorlands Mist,Each Way,21,Lose,TRUE
Tipster A,Bombilate,Each Way,8,Lose,TRUE
Tipster A,Estidraak,Win,1.91,Win,TRUE
Tipster A,Venitien De Mai,Win,3.75,Lose,TRUE
Tipster A,Gee Hi,Win,1.83,Lose,TRUE
Tipster A,Bancnuanaheireann,Each Way,10,Win,TRUE
Tipster A,Serenity Now,Win,2.63,Lose,TRUE
Tipster A,Aristo Du Plessis,Win,2.62,Win,TRUE
Tipster A,Destiny Awaits,Each Way,6.5,Lose,TRUE
Tipster A,Wishfull Dreaming,Win,2.38,Lose,TRUE
Tipster A,Warrantor,Win,9,Lose,TRUE
Tipster A,Predominance,Win,5,Lose,TRUE
Tipster A,Our Kaempfer,Win,3.75,Lose,TRUE
Tipster A,Iveagh Gardens,Each Way,6,Lose,TRUE
Tipster A,Bold Bid,Each Way,8.5,Lose,TRUE
Tipster A,Ma Du Fou,Win,2,Win,TRUE
Tipster A,Chic Name,Win,3,Lose,TRUE
Tipster A,Second Wave,Win,4,Win,TRUE
Tipster A,Big Whiskey,Each Way,8,Win,TRUE
Tipster A,Dutiful Son,Win,3.5,Win,TRUE
Tipster A,Revision,Each Way,7.5,Win,TRUE
Tipster A,Exit Europe,Each Way,6.5,Win,TRUE
Tipster A,Flementine,Win,5,Lose,TRUE
Tipster A,Friendly Royal,Win,4.5,Lose,TRUE
Tipster A,Glacial Rock,Each Way,6.5,Lose,TRUE
Tipster A,Final Assault,Win,2.88,Win,TRUE
Tipster A,Credit The Giver,Each Way,6,Win,TRUE
Tipster A,Lady Of Lamanver,Each Way,6,Lose,TRUE
Tipster A,Max Forte,Each Way,9,Win,TRUE
Tipster A,Port Paradise,Each Way,11,Lose,TRUE
Tipster A,La Vaticane,Win,4.5,Lose,TRUE
Tipster A,Tuco,Win,3.25,Lose,TRUE
Tipster A,A Hare Breath,Each Way,7,Win,TRUE
Tipster A,Quatrieme Ami,Win,3.25,Win,TRUE
Tipster A,Knockanrawley,Each Way,15,Win,TRUE
Tipster A,Irish Cavalier,Each Way,11,Win,TRUE
Tipster A,Grendisar,Each Way,11,Win,TRUE
Tipster A,Kayf Blanco,Each Way,8,Win,TRUE
Tipster A,Colla Pier,Each Way,11,Win,TRUE
Tipster A,Altior,Win,3.75,Win,TRUE
Tipster A,Gorgehous Lliege,Each Way,6.5,Lose,TRUE
Tipster A,Simply Ned,Win,3.75,Lose,TRUE
Tipster A,Epsom Day,Win,2.62,Lose,TRUE
Tipster A,Vinciaettis,Win,2.5,Win,TRUE
Tipster A,Justice Rock,Each Way,6,Lose,TRUE
Tipster A,Theredballoon,Win,3.75,Lose,TRUE
Tipster A,Pithivier,Win,3.75,Win,TRUE
Tipster A,Yes I Did,Each Way,5,Win,TRUE
Tipster A,Varom,Win,4.5,Lose,TRUE
Tipster A,Boyfromnowhere,Win,3.75,Lose,TRUE
Tipster A,Rememberance Day,Each Way,12,Lose,TRUE
Tipster A,Steal The Scene,Each Way,11,Win,TRUE
Tipster A,Crazy Chic,Win,3.25,Lose,TRUE
Tipster A,Big Whiskey,Each Way,7,Win,TRUE
Tipster A,Kristijano,Win,3,Lose,TRUE
Tipster A,Doctor Phoenix,Win,3,Win,TRUE
Tipster A,Welsh Shadow,Win,2.62,Win,TRUE
Tipster A,Turn On The Tears,Each Way,5.5,Win,TRUE
Tipster A,Exit Europe,Win,3.25,Lose,TRUE
Tipster A,Kitty Caul,Each Way,10,Lose,TRUE
Tipster A,Crown Theatre,Each Way,6.5,Lose,TRUE
Tipster A,Straidnahanna,Each Way,7,Lose,TRUE
Tipster A,Illegally Blonde,Win,3.5,Win,TRUE
Tipster A,Thataboy,Each Way,13,Lose,TRUE
Tipster A,Right Madam,Each Way,7,Lose,TRUE
Tipster A,Roll It Out,Each Way,5.5,Win,TRUE
Tipster A,St Dominick,Win,5.5,Win,TRUE
Tipster A,Lettheriverundry,Each Way,6,Lose,TRUE
Tipster A,Armchair Theatre,Win,3,Lose,TRUE
Tipster A,Big Whiskey,Each Way,6.5,Win,TRUE
Tipster A,Presence Felt,Each Way,7,Win,TRUE
Tipster A,What Could She Be,Each Way,4,Win,TRUE
Tipster A,Midnight Silver,Each Way,4.5,Lose,TRUE
Tipster A,Commissar,Each Way,8,Lose,TRUE
Tipster A,Hat Alnasar,Win,4,Lose,TRUE
Tipster A,Lancelot Du Lac,Win,3.5,Win,TRUE
Tipster A,Rubis,Each Way,7.5,Win,TRUE
Tipster A,Value At Risk,Win,3.75,Lose,TRUE
Tipster A,Chtibello,Win,4,Lose,TRUE
Tipster A,Danish Duke,Each Way,10,Win,TRUE
Tipster A,Make Music,Each Way,5,Lose,TRUE
Tipster A,Epsom Day,Win,2.1,Lose,TRUE
Tipster A,Maximiser,Each Way,5,Lose,TRUE
Tipster A,West Approach,Each Way,17,Lose,TRUE
Tipster A,Air Of York,Win,2.75,Win,TRUE
Tipster A,Wink Oliver,Win,3.5,Lose,TRUE
Tipster A,Red Rannagh,Each Way,5.5,Win,TRUE
Tipster A,Dysios,Each Way,21,Lose,TRUE
Tipster A,Ballydine,Win,2.88,Win,TRUE
Tipster A,Aloomomo,Each Way,8,Win,TRUE
Tipster A,Jack Steel,Win,3.75,Lose,TRUE
Tipster A,Houblon Des Obeaux,Each Way,15,Lose,TRUE
Tipster A,Final Nudge,Win,2.38,Win,TRUE
Tipster A,Pearls Legend,Each Way,8.5,Win,TRUE
Tipster A,On Tour,Win,1.91,Win,TRUE
Tipster A,Edith Weston,Each Way,13,Lose,TRUE
Tipster A,Rock Of Monaco,Each Way,8,Win,TRUE
Tipster A,Russian Radiance,Win,3.5,Win,TRUE
Tipster A,Sunbaked,Win,3.5,Lose,TRUE
